Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
SVM (TF-IDF),0.8510068676521941,0.8550715771442555,0.986518915866742,0.9161040833715671,0.6911391672290088
NB (TF-IDF),0.8497264579210801,0.8550067410221841,0.9847543760587238,0.9153053860788559,0.6970343226059303
GB (Struct),0.8334303340705389,0.8442333455121179,0.9785431959345002,0.9064400130761687,0.7352543016834294
RF (TF-IDF),0.8265626818763823,0.8692409240924093,0.929488989271598,0.8983559587966436,0.6931796403158308
LR (Combined),0.7460714701431731,0.8885014660432681,0.7913608130999435,0.8371224847873969,0.7273157811073263
XGBoost (Struct),0.6970666977069025,0.8998126505486662,0.7118859401468097,0.794893013358553,0.7310704103605348
